date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:27	28840/28840	---MCZ	200	added ('OK')	text/html	etag:W/%221a300b1a6b03cb585df5c907fb024f7f%22	https://vivasorteiomilhao.vercel.app/sorteio/index.html	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/index.html	(from )
21:55:28	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Sep%202025%2000:55:28%20GMT	https://vivasorteiomilhao.vercel.app/robots.txt		(from )
21:55:28	25524/25524	---MCZ	200	added ('OK')	text/css	etag:W/%228c8c7872d0c6708e0c313c571169a414%22	https://vivasorteiomilhao.vercel.app/sorteio/css/style.css	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/css/style.css	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:28	1442/1442	---MCZ	200	added ('OK')	text/css	etag:W/%22aa8162bc91ed46e993d3d094cc3666a6%22	https://vivasorteiomilhao.vercel.app/sorteio/css/header.css	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/css/header.css	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:29	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%221c7d8e9934a2adfe1e19f38101a293bd%22	https://vivasorteiomilhao.vercel.app/sorteio/css/bootstrap.min.css	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/css/bootstrap.min.css	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:29	85815/85815	---MCZ	200	added ('OK')	text/css	etag:W/%220e278a73950b6055744293756d6bca73%22	https://vivasorteiomilhao.vercel.app/sorteio/css/bootstrap-icons.min.css	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/css/bootstrap-icons.min.css	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:31	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Sep%202025%2000:55:30%20GMT	http://api.dimpple.com/public/js/analytics.js?trk=5903.wTkNMw.13acf571	C:/Meus%20Sites/Branco/api.dimpple.com/public/js/analytics.52a2d.delayed	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:31	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Sep%202025%2000:55:32%20GMT	https://vivasorteiomilhao.vercel.app/sorteio/href,%20window.location.origin	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/href,%20window.location.7.delayed	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:32	77643/77643	---M--	200	added ('OK')	application/javascript	etag:%2268c98be8-12f4b%22	https://api.dimpple.com/public/js/analytics.js?trk=5903.wTkNMw.13acf571	C:/Meus%20Sites/Branco/api.dimpple.com/public/js/analytics2a2d.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:32	11915/11915	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Sep%202025%2006:12:14%20GMT	https://s1.kwai.net/kos/s101/nlav11187/pixel/events.js	C:/Meus%20Sites/Branco/s1.kwai.net/kos/s101/nlav11187/pixel/events.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:32	11915/11915	---M-Z	200	added ('OK')	application/javascript	etag:%22D5CE803842B5C84DB48A086B8AB84429%22	https://s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	C:/Meus%20Sites/Branco/s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:32	28075/28075	---M--	200	added ('OK')	image/png	etag:%22af5693227cf34cefafb2ef9ec5db62e6%22	https://vivasorteiomilhao.vercel.app/sorteio/images/logo.png	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/logo.png	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:33	1933192/1933192	---M--	200	added ('OK')	image/gif	etag:%2254c0a5b7d00a66532e7ab38337cd247e%22	https://vivasorteiomilhao.vercel.app/sorteio/images/bannercima.gif	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/bannercima.gif	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:33	510978/510978	---M--	200	added ('OK')	image/jpeg	etag:%22faf827a4bed3836b1e0e3b6804eb50b1%22	https://vivasorteiomilhao.vercel.app/sorteio/images/1m.jpg	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/1m.jpg	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:34	22754/22754	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2238e27c2030bc11fa58739683accd6b85%22	https://vivasorteiomilhao.vercel.app/sorteio/images/logo-hospital.svg	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/logo-hospital.svg	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:34	21536/21536	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223e4d4210b46ac5c5c7a01673ee0f1fc2%22	https://vivasorteiomilhao.vercel.app/sorteio/images/viva-hosp.svg	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/viva-hosp.svg	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:34	1383/1383	---MCZ	200	added ('OK')	text/css	etag:W/%22cd546ce1f6c7282cc20085d3c00eb249%22	https://vivasorteiomilhao.vercel.app/sorteio/css/rodape.css	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/css/rodape.css	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:35	6632/6632	---M--	200	added ('OK')	image/png	etag:%2237142a6b58dd773fdcf6dc2c6fa6e785%22	https://vivasorteiomilhao.vercel.app/sorteio/images/viacap.png	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/viacap.png	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:35	1928/1928	---M--	200	added ('OK')	image/png	etag:%2298a635b47c196b7b21c35dba363959c4%22	https://vivasorteiomilhao.vercel.app/sorteio/images/viva.png	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/viva.png	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:36	2964/2964	---M--	200	added ('OK')	image/png	etag:%22006bc7baab7b7609e457ae83cfe93dde%22	https://vivasorteiomilhao.vercel.app/sorteio/images/edjdigital.png	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/edjdigital.png	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:36	36756/36756	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbf4a5692b4833e577ccd806f8c9ad6%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/Branco/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:37	80421/80421	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299a4f9ccff1b7f75bd7208220491aa0b%22	https://vivasorteiomilhao.vercel.app/sorteio/js/bootstrap.bundle.min.js	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/js/bootstrap.bundle.min.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:37	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/Branco/cdn.utmify.com.br/scripts/utms/latest.js	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:38	207912/207912	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229ef1057306a6ab095734771377cdbbde%22	https://vivasorteiomilhao.vercel.app/sorteio/images/pattern-viva.svg	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/pattern-viva.svg	(from https://vivasorteiomilhao.vercel.app/sorteio/css/style.css)
21:55:38	11664138/11664138	---M--	200	added ('OK')	video/mp4	etag:%22222d8fa8476281d8a81055b7520adda9%22	https://vivasorteiomilhao.vercel.app/sorteio/images/banner14:09.mp4	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/images/banner14_09.mp4	(from https://vivasorteiomilhao.vercel.app/sorteio/index.html)
21:55:38	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%22cc1e5eda776be5f0ff614285c31d4892%22	https://vivasorteiomilhao.vercel.app/sorteio/fonts/bootstrap-icons.woff2	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/fonts/bootstrap-icons.woff2	(from https://vivasorteiomilhao.vercel.app/sorteio/css/bootstrap-icons.min.css)
21:55:39	176032/176032	---M--	200	added ('OK')	font/woff	etag:%22ba49e844892321d8540ea3b7c088cf97%22	https://vivasorteiomilhao.vercel.app/sorteio/fonts/bootstrap-icons.woff	C:/Meus%20Sites/Branco/vivasorteiomilhao.vercel.app/sorteio/fonts/bootstrap-icons.woff	(from https://vivasorteiomilhao.vercel.app/sorteio/css/bootstrap-icons.min.css)
